Date,Open,High,Low,Close,Adj Close,Volume
2020-11-08,59.143646,61.812820,58.881237,61.055046,61.055046,2560316021
2020-11-09,61.055016,61.776428,57.842327,59.363884,59.363884,2791720300
2020-11-10,59.365467,59.657387,57.597496,58.237343,58.237343,2269831643
2020-11-11,58.237267,60.548317,58.204983,59.515030,59.515030,2580790979
2020-11-12,59.514549,60.449734,58.305347,60.365379,60.365379,2506731801
2020-11-13,60.364937,66.021179,60.311874,65.457199,65.457199,4324936978
2020-11-14,65.457199,65.836067,61.926991,63.774151,63.774151,2879859655
2020-11-15,63.774155,64.146866,61.234520,62.279922,62.279922,2565763410
2020-11-16,62.279919,71.997322,62.171036,71.326248,71.326248,5089779254
2020-11-17,73.501122,76.434593,71.234772,75.852341,75.852341,5781117491
2020-11-18,75.849861,76.447357,69.628525,73.694939,73.694939,6120728271
2020-11-19,73.695679,83.212341,71.796600,81.683670,81.683670,6615851204
2020-11-20,81.683632,85.174995,80.265350,82.583153,82.583153,6264878329
2020-11-21,82.583153,88.003593,80.650879,86.410118,86.410118,6565673514
2020-11-22,86.410118,87.643806,79.646095,82.704208,82.704208,6285046852
2020-11-23,82.704285,90.164413,81.185165,89.039314,89.039314,7198913664
2020-11-24,89.032753,93.576019,86.831665,89.205376,89.205376,7748145325
2020-11-25,89.203506,90.411552,79.864098,81.880127,81.880127,6033297331
2020-11-26,81.875198,83.072678,65.225349,70.865723,70.865723,8965913476
2020-11-27,70.884369,73.463661,65.952522,69.123871,69.123871,5874999214
2020-11-28,69.131828,74.833565,68.552994,72.692963,72.692963,4784394518
2020-11-29,72.699623,80.783401,71.732857,79.235069,79.235069,5314384738
2020-11-30,79.210464,88.128998,77.067017,87.574631,87.574631,6812463307
2020-12-01,87.576599,92.276779,81.314209,85.435768,85.435768,9818290618
2020-12-02,85.437561,90.105362,83.395226,88.856514,88.856514,7713268210
2020-12-03,88.876465,91.123352,85.807320,89.098969,89.098969,6014261404
2020-12-04,89.103928,89.602104,78.769203,80.017075,80.017075,5444117736
2020-12-05,80.007393,84.168556,79.154488,83.118729,83.118729,4517680975
2020-12-06,83.115913,85.037163,80.602432,83.555336,83.555336,3454805957
2020-12-07,83.545494,86.726448,81.933228,83.624062,83.624062,4312326196
2020-12-08,83.616470,84.714005,75.976501,76.748657,76.748657,4230876095
2020-12-09,76.738403,78.099937,72.618980,77.410980,77.410980,4239672634
2020-12-10,77.412209,77.575325,73.471329,74.829559,74.829559,3007098971
2020-12-11,74.825752,74.854874,70.231308,72.087334,72.087334,3761860017
2020-12-12,72.078712,77.519981,72.078712,76.706894,76.706894,2966684035
2020-12-13,76.713165,83.889015,75.659302,82.000641,82.000641,3845040543
2020-12-14,82.029449,82.874458,79.426796,82.363159,82.363159,3459910049
2020-12-15,82.364372,84.708344,80.699722,81.400673,81.400673,3727495996
2020-12-16,81.411545,92.846069,79.032356,92.789688,92.789688,6152647270
2020-12-17,92.799393,109.234642,91.140778,100.959572,100.959572,11165000706
2020-12-18,100.989052,112.250755,99.550888,109.384506,109.384506,10096427749
2020-12-19,109.365532,123.755432,105.686012,120.558907,120.558907,9859343632
2020-12-20,120.492813,122.735420,110.772957,114.665993,114.665993,8652067110
2020-12-21,114.668312,118.015129,101.599091,105.005394,105.005394,9903839433
2020-12-22,104.950577,114.029572,98.868668,113.680367,113.680367,11221164987
2020-12-23,113.678970,116.887657,96.269661,101.817062,101.817062,12287537836
2020-12-24,101.895035,111.932869,99.606331,111.565399,111.565399,10108653753
2020-12-25,111.511726,128.025894,108.585609,126.983597,126.983597,11678543063
2020-12-26,127.079193,134.735138,125.133560,129.459198,129.459198,12680207148
2020-12-27,129.456619,138.319717,123.097404,127.516968,127.516968,14103307412
2020-12-28,127.588303,136.185074,127.071342,130.050339,130.050339,10248729547
2020-12-29,130.033264,130.608582,121.187202,129.040802,129.040802,9160551332
2020-12-30,129.061859,132.450119,123.444344,129.466080,129.466080,8127317345
2020-12-31,129.480286,130.166245,123.036484,124.690323,124.690323,6274573135
2021-01-01,124.672768,133.185760,123.328079,126.230347,126.230347,7326980728
2021-01-02,126.272964,140.372574,123.693619,136.944885,136.944885,10532067985
2021-01-03,136.949402,163.898636,135.739914,160.190582,160.190582,15385661271
2021-01-04,160.271164,173.027817,143.623962,154.807327,154.807327,13659785704
2021-01-05,154.897552,162.850189,147.400070,158.594772,158.594772,10192818976
2021-01-06,158.665970,169.657455,155.452866,169.016922,169.016922,10743884477
2021-01-07,169.068222,180.873383,162.806549,169.615952,169.615952,13099581396
2021-01-08,169.641525,181.766632,151.650253,173.279877,173.279877,14705614969
2021-01-09,173.253754,179.090073,164.152481,177.483932,177.483932,11136779198
2021-01-10,177.477188,185.780350,163.784790,171.114838,171.114838,12774461582
2021-01-11,171.094833,171.094833,114.956459,139.252228,139.252228,17994263494
2021-01-12,139.079987,146.716385,128.926590,132.635910,132.635910,11898878222
2021-01-13,132.658936,147.877899,126.862045,147.421341,147.421341,8421748673
2021-01-14,147.379745,156.566925,144.182785,152.084579,152.084579,8271411810
2021-01-15,152.111526,155.117233,132.193329,144.237549,144.237549,8416625031
2021-01-16,144.188187,152.060822,140.002014,144.265427,144.265427,7183807955
2021-01-17,144.224838,146.824234,137.069504,142.430817,142.430817,6098835633
2021-01-18,142.434647,154.525696,138.811432,152.144089,152.144089,6640211538
2021-01-19,152.197556,165.924301,150.487885,153.487427,153.487427,9314780275
2021-01-20,153.356094,156.138489,139.092697,149.931427,149.931427,9002037330
2021-01-21,149.944092,149.944092,126.234200,130.133499,130.133499,8703006148
2021-01-22,130.073837,141.015503,123.646927,137.271454,137.271454,8550579025
2021-01-23,137.197693,142.339264,135.111374,137.750992,137.750992,5380627901
2021-01-24,137.738708,142.652405,134.478394,141.477310,141.477310,4972171240
2021-01-25,141.438278,147.150284,137.009933,137.444199,137.444199,6344860290
2021-01-26,137.432922,139.540970,128.866409,134.755264,134.755264,5897389103
2021-01-27,134.751450,134.862640,118.787514,122.949471,122.949471,6281091792
2021-01-28,122.941254,131.737000,121.536354,130.591675,130.591675,6759603398
2021-01-29,138.218521,144.958435,132.161758,135.012573,135.012573,8878892082
2021-01-30,134.999252,135.903397,128.916565,133.400024,133.400024,6332391807
2021-01-31,133.418030,134.703705,126.252991,129.570816,129.570816,4539387378
2021-02-01,129.574600,136.130219,126.350449,131.951935,131.951935,5607159828
2021-02-02,131.952911,145.532913,131.952911,142.506973,142.506973,7552216052
2021-02-03,142.476730,155.892303,142.167755,155.612030,155.612030,8586975076
2021-02-04,155.656479,158.088776,142.414093,145.148193,145.148193,7811659280
2021-02-05,145.150635,156.535309,144.318176,154.852219,154.852219,7359451680
2021-02-06,154.854080,163.430939,150.512772,155.714737,155.714737,8323878876
2021-02-07,155.669540,157.128647,145.662537,151.140076,151.140076,6884924123
2021-02-08,151.107513,168.265945,148.122726,167.219055,167.219055,8863883926
2021-02-09,167.213989,183.644485,164.687820,182.114471,182.114471,10156352233
2021-02-10,181.987457,194.182983,172.255447,182.174393,182.174393,12820808289
2021-02-11,182.062744,192.504883,176.554535,184.496002,184.496002,9278994121
2021-02-12,184.387146,199.416870,178.123352,197.231705,197.231705,10839370443
2021-02-13,197.234329,228.384460,192.919647,226.227600,226.227600,16565513036
2021-02-14,226.285873,229.205154,210.101669,214.430267,214.430267,12902511399
2021-02-15,214.324997,219.638504,192.121246,207.681015,207.681015,13482646966
2021-02-16,207.610443,221.051590,201.295990,210.546570,210.546570,12666436004
2021-02-17,210.569031,236.973526,204.242935,236.973526,236.973526,13792789978
2021-02-18,236.949249,238.196609,221.592896,226.869553,226.869553,7889078633
2021-02-19,226.899292,241.161285,220.956772,236.676010,236.676010,7151082978
2021-02-20,236.654907,245.957520,216.641663,227.619888,227.619888,8208699025
2021-02-21,227.519623,233.147995,220.983749,227.231354,227.231354,6934669818
2021-02-22,227.223816,227.234802,182.527649,208.106796,208.106796,9523044215
2021-02-23,208.123413,208.369675,159.684677,176.934921,176.934921,10944696472
2021-02-24,176.966766,189.165466,169.789001,181.378494,181.378494,7205360252
2021-02-25,181.385422,204.743835,176.032150,178.901840,178.901840,7327999233
2021-02-26,179.128525,182.075851,163.248245,170.398148,170.398148,7875998386
2021-02-27,170.431427,179.929871,167.908783,172.100449,172.100449,4991079437
2021-02-28,172.102188,172.646179,154.799789,164.927170,164.927170,5945000101
2021-03-01,164.983139,176.355164,163.966431,175.237900,175.237900,4627257694
2021-03-02,175.209686,184.730499,171.199631,177.872437,177.872437,5247274825
2021-03-03,177.974365,196.258942,177.366501,188.525665,188.525665,6392122021
2021-03-04,188.458313,194.231857,177.324738,181.078644,181.078644,5488598135
2021-03-05,181.039963,183.102570,169.327133,180.765610,180.765610,4560793618
2021-03-06,180.706329,184.339584,175.395447,182.981903,182.981903,3799599706
2021-03-07,182.990692,191.770233,182.422348,190.759109,190.759109,3541357558
2021-03-08,190.771271,194.619186,180.068420,191.927689,191.927689,4401225306
2021-03-09,191.940048,204.750626,189.419708,203.637863,203.637863,5408294951
2021-03-10,203.641586,207.392395,192.582458,200.516861,200.516861,6296082804
2021-03-11,200.449753,203.167831,191.536835,201.250336,201.250336,4823154653
2021-03-12,201.273666,223.614975,198.953842,220.829407,220.829407,8079722567
2021-03-13,220.864532,229.373978,213.611343,226.578293,226.578293,6378541696
2021-03-14,226.505508,227.830124,215.296097,215.296097,215.296097,4537627844
2021-03-15,215.227280,221.686401,198.752548,201.264618,201.264618,6186375403
2021-03-16,201.191208,204.864395,192.191803,201.040634,201.040634,5270029739
2021-03-17,201.064163,206.287430,195.025864,206.067932,206.067932,4362001168
2021-03-18,206.033142,208.096375,200.103027,200.537308,200.537308,3719561575
